factor,minimum_level,maximum_level,minimum_recall,maximum_recall,recall_range,minimum_recall_pct,maximum_recall_pct,recall_range_percentage_points,analysis_scope,prompt,moderator_factor,parser,year_num,dataset_clean,obfuscation_clean,model
model,Qwen,Llama,0.6583333333333333,0.8552083333333333,0.19687500000000002,65.83333333333333,85.52083333333333,19.687500000000004,overall,,,,,,,
prompt,label,evidence,0.6546875,0.8734375,0.21875,65.46875,87.34375,21.875,overall,,,,,,,
parser,P2,P1,0.703125,0.8104166666666667,0.10729166666666667,70.3125,81.04166666666667,10.729166666666668,overall,,,,,,,
year_num,2025.0,2023.0,0.6854166666666667,0.828125,0.14270833333333333,68.54166666666667,82.8125,14.270833333333332,overall,,,,,,,
dataset_clean,spam_archive,nazario,0.7065217391304348,0.8247549019607843,0.11823316283034946,70.65217391304348,82.47549019607843,11.823316283034945,overall,,,,,,,
obfuscation_clean,no,yes,0.721875,0.7916666666666666,0.06979166666666659,72.1875,79.16666666666666,6.979166666666659,overall,,,,,,,
model,Qwen,Llama,0.784375,0.9625,0.17812499999999998,78.4375,96.25,17.812499999999996,model_within_prompt,evidence,prompt,,,,,
model,Qwen,Llama,0.66875,0.815625,0.1468750000000001,66.875,81.5625,14.687500000000009,model_within_prompt,guided,prompt,,,,,
model,Qwen,Llama,0.521875,0.7875,0.265625,52.1875,78.75,26.5625,model_within_prompt,label,prompt,,,,,
model,Qwen,Llama,0.7416666666666667,0.8791666666666667,0.13749999999999996,74.16666666666667,87.91666666666667,13.749999999999996,model_within_parser,,parser,P1,,,,
model,Qwen,Llama,0.575,0.83125,0.2562500000000001,57.49999999999999,83.125,25.625000000000007,model_within_parser,,parser,P2,,,,
model,Qwen,Llama,0.7333333333333333,0.9229166666666667,0.18958333333333344,73.33333333333333,92.29166666666667,18.958333333333343,model_within_year_num,,year_num,,2023.0,,,
model,Qwen,Llama,0.5833333333333334,0.7875,0.2041666666666666,58.333333333333336,78.75,20.41666666666666,model_within_year_num,,year_num,,2025.0,,,
model,Qwen,Llama,0.7303921568627451,0.9191176470588235,0.18872549019607843,73.0392156862745,91.91176470588235,18.872549019607842,model_within_dataset_clean,,dataset_clean,,,nazario,,
model,Qwen,Llama,0.605072463768116,0.8079710144927537,0.2028985507246377,60.507246376811594,80.79710144927536,20.28985507246377,model_within_dataset_clean,,dataset_clean,,,spam_archive,,
model,Qwen,Llama,0.6395833333333333,0.8041666666666667,0.16458333333333341,63.95833333333333,80.41666666666667,16.458333333333343,model_within_obfuscation_clean,,obfuscation_clean,,,,no,
model,Qwen,Llama,0.6770833333333334,0.90625,0.22916666666666663,67.70833333333334,90.625,22.916666666666664,model_within_obfuscation_clean,,obfuscation_clean,,,,yes,
prompt,label,evidence,0.7875,0.9625,0.17500000000000004,78.75,96.25,17.500000000000004,prompt_within_model,,model,,,,,Llama
prompt,label,evidence,0.521875,0.784375,0.26250000000000007,52.1875,78.4375,26.250000000000007,prompt_within_model,,model,,,,,Qwen
prompt,label,evidence,0.75,0.909375,0.15937500000000004,75.0,90.9375,15.937500000000004,prompt_within_parser,,parser,P1,,,,
