factor,level_a,level_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,absolute_difference_percentage_points,relative_change_vs_b_pct,prompt,analysis_scope,moderator_factor,parser,year_num,dataset_clean,obfuscation_clean,model
model,Llama,Qwen,0.9625,0.784375,96.25,78.4375,0.17812499999999998,17.812499999999996,17.812499999999996,22.70916334661354,evidence,model_within_prompt,prompt,,,,,
model,Llama,Qwen,0.815625,0.66875,81.5625,66.875,0.1468750000000001,14.687500000000009,14.687500000000009,21.962616822429922,guided,model_within_prompt,prompt,,,,,
model,Llama,Qwen,0.7875,0.521875,78.75,52.1875,0.265625,26.5625,26.5625,50.898203592814376,label,model_within_prompt,prompt,,,,,
model,Llama,Qwen,0.8791666666666667,0.7416666666666667,87.91666666666667,74.16666666666667,0.13749999999999996,13.749999999999996,13.749999999999996,18.539325842696623,,model_within_parser,parser,P1,,,,
model,Llama,Qwen,0.83125,0.575,83.125,57.49999999999999,0.2562500000000001,25.625000000000007,25.625000000000007,44.565217391304365,,model_within_parser,parser,P2,,,,
model,Llama,Qwen,0.9229166666666667,0.7333333333333333,92.29166666666667,73.33333333333333,0.18958333333333344,18.958333333333343,18.958333333333343,25.85227272727274,,model_within_year_num,year_num,,2023.0,,,
model,Llama,Qwen,0.7875,0.5833333333333334,78.75,58.333333333333336,0.2041666666666666,20.41666666666666,20.41666666666666,34.999999999999986,,model_within_year_num,year_num,,2025.0,,,
model,Llama,Qwen,0.9191176470588235,0.7303921568627451,91.91176470588235,73.0392156862745,0.18872549019607843,18.872549019607842,18.872549019607842,25.838926174496645,,model_within_dataset_clean,dataset_clean,,,nazario,,
model,Llama,Qwen,0.8079710144927537,0.605072463768116,80.79710144927536,60.507246376811594,0.2028985507246377,20.28985507246377,20.28985507246377,33.532934131736525,,model_within_dataset_clean,dataset_clean,,,spam_archive,,
model,Llama,Qwen,0.8041666666666667,0.6395833333333333,80.41666666666667,63.95833333333333,0.16458333333333341,16.458333333333343,16.458333333333343,25.73289902280132,,model_within_obfuscation_clean,obfuscation_clean,,,,no,
model,Llama,Qwen,0.90625,0.6770833333333334,90.625,67.70833333333334,0.22916666666666663,22.916666666666664,22.916666666666664,33.84615384615384,,model_within_obfuscation_clean,obfuscation_clean,,,,yes,
prompt,evidence,guided,0.9625,0.815625,96.25,81.5625,0.14687499999999998,14.687499999999998,14.687499999999998,18.00766283524904,,prompt_within_model,model,,,,,Llama
prompt,evidence,label,0.9625,0.7875,96.25,78.75,0.17500000000000004,17.500000000000004,17.500000000000004,22.22222222222223,,prompt_within_model,model,,,,,Llama
prompt,guided,label,0.815625,0.7875,81.5625,78.75,0.028125000000000067,2.8125000000000067,2.8125000000000067,3.57142857142858,,prompt_within_model,model,,,,,Llama
prompt,evidence,guided,0.784375,0.66875,78.4375,66.875,0.11562500000000009,11.562500000000009,11.562500000000009,17.28971962616824,,prompt_within_model,model,,,,,Qwen
prompt,evidence,label,0.784375,0.521875,78.4375,52.1875,0.26250000000000007,26.250000000000007,26.250000000000007,50.29940119760481,,prompt_within_model,model,,,,,Qwen
