model,prompt,year_num,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,evidence,2023,159,160,0.99375,80,0.965451014037521,0.998895868230618,99.375,96.5451014037521,99.8895868230618
Llama,evidence,2025,149,160,0.93125,80,0.8810970775754896,0.9611805790890873,93.125,88.10970775754896,96.11805790890872
Llama,guided,2023,143,160,0.89375,80,0.8364379048857311,0.9325982164167087,89.375,83.64379048857312,93.25982164167087
Llama,guided,2025,118,160,0.7375,80,0.6643294227646624,0.7995336345288727,73.75,66.43294227646625,79.95336345288727
Llama,label,2023,141,160,0.88125,80,0.8219771441876508,0.9226451319940765,88.125,82.19771441876507,92.26451319940765
Llama,label,2025,111,160,0.69375,80,0.6184822211553903,0.7599323782156514,69.375,61.84822211553903,75.99323782156515
Qwen,evidence,2023,134,160,0.8375,80,0.7725474698683044,0.8866263483909297,83.75,77.25474698683044,88.66263483909297
Qwen,evidence,2025,117,160,0.73125,80,0.6577316340908197,0.7939245006423591,73.125,65.77316340908197,79.3924500642359
Qwen,guided,2023,118,160,0.7375,80,0.6643294227646624,0.7995336345288727,73.75,66.43294227646625,79.95336345288727
Qwen,guided,2025,96,160,0.6,80,0.5226048369682189,0.67270592399748,60.0,52.26048369682189,67.270592399748
Qwen,label,2023,100,160,0.625,80,0.5478816833078075,0.6962567678993162,62.5,54.78816833078075,69.62567678993162
Qwen,label,2025,67,160,0.41875,80,0.34508783914030006,0.49622216757506965,41.875,34.508783914030005,49.62221675750696
