prompt,parser,obfuscation_clean,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
evidence,P1,no,137,160,0.85625,80,0.7935312683939587,0.9022633175463438,85.625,79.35312683939587,90.22633175463439
evidence,P1,yes,154,160,0.9625,80,0.9206101926328579,0.9827020768334999,96.25,92.06101926328579,98.27020768334998
evidence,P2,no,138,160,0.8625,80,0.8005890571519036,0.9074124513487553,86.25,80.05890571519036,90.74124513487553
evidence,P2,yes,130,160,0.8125,80,0.7449603968476121,0.8653857311701972,81.25,74.4960396847612,86.53857311701972
guided,P1,no,112,160,0.7,80,0.6249851614393749,0.765636360492023,70.0,62.498516143937486,76.5636360492023
guided,P1,yes,135,160,0.84375,80,0.7795120049086998,0.8918687359108906,84.375,77.95120049086998,89.18687359108905
guided,P2,no,116,160,0.725,80,0.6511504495603382,0.7882987626124844,72.5,65.11504495603381,78.82987626124844
guided,P2,yes,112,160,0.7,80,0.6249851614393749,0.765636360492023,70.0,62.498516143937486,76.5636360492023
label,P1,no,107,160,0.66875,80,0.5926163390608729,0.7369705700687441,66.875,59.26163390608728,73.69705700687442
label,P1,yes,133,160,0.83125,80,0.7656111943482117,0.8813557013506663,83.125,76.56111943482117,88.13557013506663
label,P2,no,83,160,0.51875,80,0.4418022192288148,0.5948185484522539,51.87500000000001,44.18022192288148,59.48185484522539
label,P2,yes,96,160,0.6,80,0.5226048369682189,0.67270592399748,60.0,52.26048369682189,67.270592399748
