test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Qwen,guided,P2,34,46,29,14,5,32,0.8529411764705882,0.30434782608695654,85.29411764705883,30.434782608695656,0.5485933503836317,54.85933503836316,0.07543103448275862,23.667786027864544,1.0,15.725,Pearson chi-square,1.1448291835143679e-06,2.747590040434483e-05,2.747590040434483e-05
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Qwen,evidence,P2,34,46,31,21,3,25,0.9117647058823529,0.45652173913043476,91.17647058823529,45.65217391304348,0.45524296675191817,45.52429667519181,0.08129032258064516,17.80950507293218,1.0,11.9,Pearson chi-square,2.4416047256246193e-05,0.0005615690868936624,0.0002929925670749543
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Qwen,guided,P2,68,92,54,44,14,48,0.7941176470588235,0.4782608695652174,79.41176470588235,47.82608695652174,0.3158567774936061,31.585677749360606,0.23765432098765432,16.435365169910884,1.0,26.35,Pearson chi-square,5.0337287519054995e-05,0.0006040474502286599,0.0006040474502286599
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Llama,label,P1,46,46,45,29,1,17,0.9782608695652174,0.6304347826086957,97.82608695652173,63.04347826086957,0.34782608695652173,34.78260869565217,0.03790849673202614,17.68168168168168,1.0,9.0,Pearson chi-square,2.6112928480728503e-05,0.000626710283537484,0.0006267102835374841
between_year_num,year_num,2023,2025,none,all,Qwen,label,P1,80,80,64,40,16,40,0.8,0.5,80.0,50.0,0.30000000000000004,30.000000000000004,0.25,15.824175824175825,1.0,28.0,Pearson chi-square,6.950869152139696e-05,0.0008341042982567635,0.0008341042982567636
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Qwen,label,P1,46,46,41,24,5,22,0.8913043478260869,0.5217391304347826,89.13043478260869,52.17391304347826,0.3695652173913043,36.95652173913043,0.13303769401330376,15.14985754985755,1.0,13.5,Pearson chi-square,9.930580470314624e-05,0.0022840335081723635,0.0011916696564377549
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,yes,Qwen,guided,P2,34,46,27,17,7,29,0.7941176470588235,0.3695652173913043,79.41176470588235,36.95652173913043,0.42455242966751916,42.45524296675192,0.15197956577266922,14.237515823193576,1.0,15.3,Pearson chi-square,0.00016112609332546296,0.003867026239811111,0.003867026239811111
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Llama,guided,P2,34,46,32,27,2,19,0.9411764705882353,0.5869565217391305,94.11764705882352,58.69565217391305,0.3542199488491048,35.42199488491048,0.08881578947368421,12.670724885385253,1.0,8.925,Pearson chi-square,0.0003714255029633707,0.008171361065194156,0.0029714040237069656
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Qwen,evidence,P2,46,46,37,21,9,25,0.8043478260869565,0.45652173913043476,80.43478260869566,45.65217391304348,0.3478260869565218,34.78260869565218,0.20432432432432432,11.943204868154158,1.0,17.0,Pearson chi-square,0.0005484705126257475,0.012066351277766445,0.00438776410100598
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,yes,Qwen,label,P2,40,40,23,8,17,32,0.575,0.2,57.49999999999999,20.0,0.37499999999999994,37.49999999999999,0.18478260869565216,11.84990125082291,1.0,15.5,Pearson chi-square,0.0005766440344032169,0.013839456825677205,0.013839456825677205
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Llama,guided,P2,68,92,63,67,5,25,0.9264705882352942,0.7282608695652174,92.64705882352942,72.82608695652173,0.19820971867007675,19.820971867007675,0.2126984126984127,10.083284149780313,1.0,12.75,Pearson chi-square,0.0014962042258555028,0.016458246484410532,0.008977225355133017
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Qwen,guided,P2,46,46,30,14,16,32,0.6521739130434783,0.30434782608695654,65.21739130434783,30.434782608695656,0.34782608695652173,34.78260869565217,0.23333333333333334,11.151515151515152,1.0,22.0,Pearson chi-square,0.0008396306788379112,0.017632244255596136,0.005037784073027468
between_year_num,year_num,2023,2025,none,all,Llama,label,P1,80,80,75,61,5,19,0.9375,0.7625,93.75,76.25,0.17500000000000004,17.500000000000004,0.21403508771929824,9.607843137254902,1.0,12.0,Pearson chi-square,0.0019374807092508348,0.021312287801759183,0.01162488425550501
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,spam_archive,Llama,guided,P1,46,46,42,29,4,17,0.9130434782608695,0.6304347826086957,91.30434782608695,63.04347826086957,0.28260869565217384,28.260869565217384,0.16246498599439776,10.427900737759892,1.0,10.5,Pearson chi-square,0.0012412574932415324,0.02482514986483065,0.005958035967559355
