Interaction,OR,95% CI,Raw p,Holm p,FDR p,Raw p numeric,Holm p numeric,FDR p numeric
Parser P2 × SpamArchive,0.38,0.24--0.58,$<0.001$,$<0.001$,$<0.001$,8.56229761734893e-06,0.0001198721666428,3.082427142245615e-05
Parser P2 × Obfuscated email,0.36,0.23--0.58,$<0.001$,$<0.001$,$<0.001$,1.6997222466079585e-05,0.000220963892059,5.099166739823876e-05
Qwen × Guided prompt,3.00,1.76--5.12,$<0.001$,$<0.001$,$<0.001$,5.657174432079808e-05,0.0006788609318495,0.000145470199682
Collection year 2025 × SpamArchive,0.24,0.08--0.69,0.009,0.077,0.015,0.0085347840985507,0.0768130568869566,0.0153626113773913
Label prompt × Parser P2,0.63,0.44--0.92,0.017,0.136,0.028,0.016993622788125,0.1359489823050007,0.0278077463805683
Qwen × Parser P2,0.61,0.38--0.97,0.038,0.268,0.058,0.038338241623173,0.2683676913622115,0.0575073624347596
Qwen × Label prompt,1.70,0.89--3.22,0.106,0.638,0.140,0.1063436563914558,0.6380619383487354,0.1397592987059925
Guided prompt × Parser P2,1.31,0.94--1.83,0.109,0.638,0.140,0.1087016767713275,0.6380619383487354,0.1397592987059925
Label prompt × Collection year 2025,0.72,0.44--1.18,0.190,0.638,0.214,0.1904227141406624,0.6380619383487354,0.2142255534082452
Guided prompt × Collection year 2025,0.97,0.64--1.47,0.896,1.000,0.896,0.8962838058502531,1.0,0.8962838058502531
